Event Number,HT,MET,MR,Rsq,Dark Photon Produced
104241,23.93242900787998,0.0,14000.000000000931,0.0,False
199676,26.90501913568052,0.0,13999.99999996867,0.0,False
140199,30.51265609087252,0.0,14000.000000000507,0.0,False
132814,30.632531682413585,0.0,14000.000000000004,0.0,False
408697,67.13095867492714,0.0,14000.000000000073,0.0,False
163280,100.39956876921542,0.0,13999.999999985796,0.0,False
215758,26.963574145864804,0.0,13999.999999999956,0.0,False
442316,147.3237701698038,0.0,14000.000000001446,0.0,False
6940,55.3976826445517,0.0,14000.000000013708,0.0,False
382310,243.3436452194213,0.0,14000.000000054151,0.0,False
472236,37.223306475499115,0.0,13999.999999997966,0.0,False
309086,91.68261398412042,0.0,13999.999999788166,0.0,False
230672,15.538209041365018,0.0,13999.999999976895,0.0,False
209236,93.51372273569532,0.0,13999.999999840138,0.0,False
102953,175.84873455796665,0.0,14000.000000356238,0.0,False
419699,112.60837811608324,0.0,13999.99999999672,0.0,False
81780,403.9114036328707,0.0,14000.000000064689,0.0,False
274641,159.42273023877087,0.0,13999.99999940295,0.0,False
133794,132.775565971418,0.0,13999.999999956812,0.0,False
230532,68.73943165693541,0.0,13999.99999999999,0.0,False
305856,58.81196543264826,0.0,13999.999999996948,0.0,False
194411,34.961806680747564,0.0,13999.999999999984,0.0,False
173647,258.68551554645154,0.0,13999.999999956412,0.0,False
76146,63.46055061019947,1.288921624442774,13979.052954313796,1.6743060136733725e-06,False
452804,65.39914879398881,0.0,14000.00001389234,0.0,False
119495,23.891899299462143,0.0,13999.999993333038,0.0,False
3749,126.24886158098316,0.0,14000.00000002683,0.0,False
158067,72.57724626908569,0.0,14000.00000004751,0.0,False
423413,57.39865239903587,0.0,13999.999999640671,0.0,False
255715,25.834615197676417,0.0,14000.000000000398,0.0,False
81047,67.82926033787739,0.0,14000.000000008338,0.0,False
259441,36.74331836716913,0.0,14000.000000000877,0.0,False
226642,232.48538281834047,0.0,13999.999999869837,0.0,False
80408,160.65651896071515,0.0,14000.000000092412,0.0,False
179265,40.35705347000136,0.0,13999.999999999276,0.0,False
429381,18.08842871575642,0.0,14000.000000699049,0.0,False
443375,64.91742043270757,0.0,14000.00000035509,0.0,False
136652,29.611310401474913,0.0,13999.999999134096,0.0,False
447625,64.32099759368904,0.0,14000.000000020193,0.0,False
263901,242.5112827296352,0.0,13999.999999979966,0.0,False
340119,31.544383723683513,0.0,13999.999999999858,0.0,False
43171,25.443171218449955,0.0,14000.000000031325,0.0,False
246411,43.22025328235094,0.0,14000.000000011032,0.0,False
314881,17.165250799038617,0.0,13999.999999999978,0.0,False
302087,32.75849333556487,0.0,13999.999999997324,0.0,False
186082,254.1763294181503,1.153204896269035,13940.85146189826,6.032856192029895e-06,False
148766,133.6147813347506,0.0,14000.000004924515,0.0,False
319415,58.83024663997246,0.0,13999.999999999818,0.0,False
86172,24.074788402056992,0.0,13999.999999858414,0.0,False
133647,166.26331981457733,0.0,13999.999999965026,0.0,False
259270,29.643114802431416,0.0,14000.00000000002,0.0,False
232595,84.07095850702078,0.0,13999.999999954109,0.0,False
214739,32.65557798366264,0.0,14000.000000000004,0.0,False
397924,55.492003578724585,0.0,13999.999999996056,0.0,False
99406,118.11242260408451,0.0,14000.00000000728,0.0,False
230883,36.84978955063105,0.0,13999.999999999996,0.0,False
261173,56.72889960963826,0.0,14000.000000014024,0.0,False
479491,93.26122920305114,0.0,14000.000000003329,0.0,False
462671,100.37675600586782,0.0,13999.999999392669,0.0,False
224948,303.51909994649003,0.0,14000.00000000348,0.0,False
421373,74.65674042123982,0.0,14000.00000001426,0.0,False
378074,51.98341349369801,0.0,14000.000000000102,0.0,False
284120,36.1895330844598,0.0,13999.999999427886,0.0,False
107865,217.4508081297416,0.0,14000.000000017251,0.0,False
137412,309.7803866056723,0.0,14000.000000007532,0.0,False
100203,60.57662340514485,0.0,13999.99999999655,0.0,False
285814,48.9863903835572,0.0,13999.99999999811,0.0,False
168011,39.79882119577752,0.0,13999.999999999687,0.0,False
159580,176.20735164917065,0.0,14000.00000584519,0.0,False
490935,31.705407474981424,0.0,13999.999999999502,0.0,False
